balance,longitude,latitude
1054250.16517931,39.5,-3.9833
1046184.9802291,36.8445084441166,-1.3112602
651725.546405973,39.5,-3.9833
584172.070744966,39.4333,-3.9666
583864.03062402,39.4333,-3.9666
456424.656899682,36.7928412300196,-1.31516185
345988.580468597,36.7540040406888,-1.2877495
298204.290549696,39.5,-3.9833
232953.515700176,39.4333,-3.9666
212841.414468865,39.4333,-3.9666
173284.79,36.8379395050161,-1.31309195
163482.153101595,36.751643,-1.2784631
159884.643399875,39.4333,-3.9666
145001.876859713,39.4333,-3.9666
144767.661536197,39.4333,-3.9666
143796.65,36.9012224,-1.2208721
130016.757142512,36.7775723,-1.3127309
129328.82,36.8445084441166,-1.3112602
129246.521314519,39.85,-3.6833
128644.472690857,39.4333,-3.9666
127714.63,36.8445084441166,-1.3112602
124681.590590487,39.667169,-4.05052
123391.28,36.8445084441166,-1.3112602
122215.37,36.8445084441166,-1.3112602
117723.933873464,39.4333,-3.9666
112116.825386538,39.5,-3.9833
108236.72,36.8445084441166,-1.3112602
103935.41,39.4333,-3.9666
99239.9852113626,39.3166,-4.1333
97132.372226946,39.4333,-3.9666
96235.6167122721,39.4333,-3.9666
95051.2068583054,39.4333,-3.9666
90407.2999999999,39.4333,-3.9666
81997.87,39.15,-4.25
76635.88,36.8445084441166,-1.3112602
71671.6567968067,36.8445084441166,-1.3112602
69081.6494147309,39.4333,-3.9666
67159.3989922781,39.6080734233011,-3.9861806
65460.68,34.2001350099963,-0.06040135
64694.87,39.4333,-3.9666
61460.6980886001,39.15,-4.25
59092.8432153633,36.7525183,-1.2654259
52995,36.8445084441166,-1.3112602
52238.3711209771,39.5,-3.9833
48176.5342021973,39.4333,-3.9666
44633.9,36.8445084441166,-1.3112602
43960.09,36.8734886563951,-1.31135195
42998.2850060153,39.4333,-3.9666
41295.7119504878,39.4333,-3.9666
36953.74,39.3166,-4.1333
34815.25,39.4333,-3.9666
33549.0674657232,39.5,-3.9833
31605.0925676241,39.4333,-3.9666
30338,39.4333,-3.9666
29425.87,36.8877240016107,-1.324728
29331.6519696777,39.4333,-3.9666
29220.86,36.8445084441166,-1.3112602
29101.23,36.8445084441166,-1.3112602
27109.2477302492,39.3166,-4.1333
26733.67,36.8445084441166,-1.3112602
26553.2346587766,39.4333,-3.9666
26220.94,39.4333,-3.9666
25390.99,36.8308169501179,-1.30422895
25321.4801689692,39.4333,-3.9666
24187.890528236,39.47377,-3.865835
20949.1135498437,39.3166,-4.1333
20928.303,36.8445084441166,-1.3112602
20633.3,36.8445084441166,-1.3112602
20174.65,36.8445084441166,-1.3112602
19155,36.8445084441166,-1.3112602
17649.62,36.8445084441166,-1.3112602
15999.24,39.5666,-4.1666
14842.3,36.7983518456065,-1.3146234
14635,36.8445084441166,-1.3112602
14411.8,36.8445084441166,-1.3112602
14244.45,36.8445084441166,-1.3112602
13908.34,36.8445084441166,-1.3112602
13740.56,36.8445084441166,-1.3112602
13108.22,36.8445084441166,-1.3112602
13089.0046730019,34.7541761,-0.1029109
13057.79,36.8445084441166,-1.3112602
12968.35,36.8445084441166,-1.3112602
12651.72,39.6080734233011,-3.9861806
11066.54,39.5,-3.9833
10997.12,36.9169455,-1.2659842
10651.72,39.4333,-3.9666
10049.24,36.8802974,-1.2915833
9998.69,36.8445084441166,-1.3112602
9798.07,39.4333,-3.9666
9434.09,39.3166,-4.1333
9033.06,36.8445084441166,-1.3112602
8810.44899053622,39.5,-3.9833
7942.66,39.4333,-3.9666
7367.36,36.8445084441166,-1.3112602
7319.26,36.8445084441166,-1.3112602
7176.13,39.4333,-3.9666
7126.82,36.8445084441166,-1.3112602
6920,36.8445084441166,-1.3112602
6800,39.549806,-3.967571
6709.65,36.8872045,-1.2945355
6682.06,36.8872045,-1.2945355
6609.77308200781,39.4333,-3.9666
6398,36.8445084441166,-1.3112602
6156.83,36.8445084441166,-1.3112602
6131.06,39.2333,-3.85
5902,36.8445084441166,-1.3112602
5834.51,36.9012224,-1.2208721
5757.47746881887,39.85,-3.6333
5647.09,36.8445084441166,-1.3112602
5609.87,36.7983518456065,-1.3146234
5415.18,36.8172449,-1.2832533
5400,39.742359,-3.947402
5375.06,39.549806,-3.967571
5316.11,36.8445084441166,-1.3112602
5254.85,36.8445084441166,-1.3112602
5072.06,36.8379395050161,-1.31309195
5017.04,36.8445084441166,-1.3112602
4855.03,39.3166,-4.1333
4713,36.8734886563951,-1.31135195
4639.6,39.5,-3.9833
4603.06,36.8563144021477,-1.26482845
4470.21,36.8445084441166,-1.3112602
4402.5,39.660652,-4.085332
4387.53,39.4333,-3.9666
4238.5,39.6080734233011,-3.9861806
4136.06,36.8445084441166,-1.3112602
4122.84,36.786523790935,-1.30854575
4111.61,36.8445084441166,-1.3112602
4044.07519145102,39.85,-3.6333
4006.199,36.8445084441166,-1.3112602
3817.99,39.4333,-3.9666
3783.46,37.0158765,-1.1015227
3776.12,36.8445084441166,-1.3112602
3771.55619538192,39.4333,-3.9666
3611,39.667169,-4.05052
3508.83339531076,39.4333,-3.9666
3475.18328931091,39.85,-3.6333
3455.06,39.3166,-4.1333
3445.99,36.8445084441166,-1.3112602
3254.53,39.3166,-4.1333
3202.03,36.8445084441166,-1.3112602
3195.68382059638,39.4333,-3.9666
3110.16197007788,39.5,-3.9666
2922.06,36.8877240016107,-1.324728
2909,34.4891,0.3363
2886,39.5994807,-4.0008627
2650.49,39.85,-3.6833
2631.45,36.8445084441166,-1.3112602
2630.09,34.1110809,0.4643485
2555.24040491079,39.4333,-3.9666
2527.81,36.8445084441166,-1.3112602
2463.58171758965,39.4333,-3.9666
2436.03,39.4333,-3.9666
2407,36.8445084441166,-1.3112602
2285.5,39.85,-3.6333
2260.49,36.8445084441166,-1.3112602
2248.46,39.7333,-3.75
2206.42,39.1050955282177,-4.1836067
2183.03,36.8379395050161,-1.31309195
2155.03,36.8956047,-1.2921312
2078.09,36.8445084441166,-1.3112602
2040,34.2861,0.06
1986.03,36.9433595,-1.3946515
1954.03,36.751643,-1.2784631
1939.46,39.5,-3.9833
1828,39.6272623,-4.0089005
1801.01,36.8445084441166,-1.3112602
1778.03,39.5,-3.9833
1776.82,36.8445084441166,-1.3112602
1762.03,36.8379395050161,-1.31309195
1708.34,36.8445084441166,-1.3112602
1655.03,36.8928281,-1.2460146
1639,36.8802974,-1.2915833
1627.04,36.8445084441166,-1.3112602
1603,39.4333,-3.9666
1600.06,34.5604089,0.5702881
1600,36.8445084441166,-1.3112602
1416.42,36.8445084441166,-1.3112602
